SMILES,CHEMSPIDER_ID,CHEMBL_ID,CHEMBL_KNOWN_DRUG,CHEMBL_ALTERNATE_NAME,CLINICALTRIALS_DB,CONCENTRATION_uM,
BrC1=CN([C@@H]2O[C@H](CO)[C@@H](O)C2)C(=O)NC1=O,5813,CHEMBL222280,No,SID50105447|SID17389223|SID90341500|SID56463513|SID50105448|SID144204567|Broxuridine|SID29215103|,1,10.0,
BrC1=Cn2c3c(nccc3c3c2cccc3)C1=O,,,,,0,20.0,
BrCC(=O)c1nccc2c1n(c1c2cccc1)C,,,,,0,20.0,
Brc1c2[nH]c3c(c2ccc1)cccc3,9405383,,,,0,20.0,
Brc1c2[nH]c3c(c2ccc1OC)ccnc3C,9132463,,,,0,20.0,
Brc1c2nccnc2ccc1NC=1NCCN=1,2341,CHEMBL844,Yes,Alphagan|Brimonidine|UK-14304|Alphagan-P|SID104171261|SID50104157|SID855898|SID11113354|SID90340645|SID85231282|SID26751556|SID11111939|,256,10.0,
Brc1cc(cc(Br)c1O)C(=O)c1c2c(oc1CC)cccc2,2243,CHEMBL388590,No,SID11110651|SID26664708|SID24424558|SID50103990|SID56422114|L-2214|SID855676|Benzbromaron|Benzbromarone|MJ-10061|SID122758|SID4253342|SID144203592|,2,10.0,
Brc1cc2c(cc1O)C(CN(CC2)C)c1ccccc1,1206,CHEMBL324017,No,SK-83566|SK&amp;F-83566|SID26752220|,0,10.0,
Brc1cc2c3c([nH]c2cc1)C(=O)CCC3,617826,CHEMBL1608722,No,SID4265237,0,20.0,
Brc1cc2c3c([nH]c2cc1)C(CCC3)C(=O)C,,,,,0,20.0,
Brc1cc2c3c([nH]c2cc1)C(O)(CCC3)C(=O)C,,,,,0,20.0,
Brc1cc2c3c([nH]c2cc1)c(ccc3)-c1nc(ncc1)N,,,,,0,20.0,
Brc1cc2c3c([nH]c2cc1)c(ccc3)C(=O)C,,,,,0,20.0,
Brc1cc2c3c([nH]c2cc1)c(ncc3)C(=O)C,,,,,0,20.0,
Brc1cc2c3c([nH]c2cc1)cncc3,142993,CHEMBL81169,No,,0,20.0,
Brc1cc2c3c([nH]c2cc1OC)c(ncc3)C,4587924,CHEMBL113173,No,,0,20.0,
Brc1cc2c3c(n(c2cc1)COCC[Si](C)(C)C)c(ccc3)-c1nc(ncc1)N,,,,,0,20.0,
Brc1cc2c3c(n(c2cc1)COCC[Si](C)(C)C)c(ccc3)C(=O)C,,,,,0,20.0,
Brc1cc2c3c4n(C=CC(=O)c4ccc3)c2cc1,,,,,0,20.0,
Brc1cc2c3c4n(C=CC(=O)c4ncc3)c2cc1,,,,,0,20.0,
Brc1ccc(NC(Nc2nc(cc(n2)NCCN(CC)CC)C)=N)cc1C(F)(F)F,251995,,,,0,10.0,
Brc1ccc(cc1)[C@H](CCN(C)C)c1ncccc1,16068,CHEMBL1201287,Yes,SID90341837|Dexbrompheniramine|SID29216402|,0,10.0,
Brc1ccccc1C[N+](CC)(C)C,2337,CHEMBL1199080,Yes,SID50113155|Bretylium|SID50113154|,0,17.0,
Brc1nc2c(ncnc2N)n1[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,87159,CHEMBL1775009,No,8-Bromoadenosine,0,10.0,
Brc1nccc2c1[nH]c1c2cccc1,10006390,,,,0,20.0,
Brc1nccc2c1n(c1c2cccc1)CC=C,,,,,0,20.0,
C1(=C(C=CC(=C1[C@H](OC2=C(N=CC(=C2)C3=C[N](N=C3)C4CCNCC4)N)C)Cl)F)Cl,9801307,CHEMBL601719,Yes,PF-2341066|Xalkori|Crizotinib|,104,-,
C1CC(=CCC1C(C)=C)C,20939,CHEMBL15799,No,SID26757135|SID29216433|SID26757134|SID67720|,4,10.0,
C1CCC(C)=C(\C=C\C(=C\C=C\C(=C\C=C\C=C(\C=C\C=C(\C=C\C=2C(CCCC=2C)(C)C)/C)/C)\C)\C)C1(C)C,4444129,CHEMBL1293,Yes,Solatene|SID47193664|SID26750098|Betacarotene|Lucaratin|Beta-carotene|SID144205110|Beta Carotene|SID87219208|BetaVit|,2703,10.0,
CCC12CC(=C)C3C(CCC4=CC(=O)CCC34)C1CCC2(O)C#C,10442850,CHEMBL1697750,No,Implanon,20,6.8,
CN(C)C(=O)C(CCN1CCC(O)(CC1)c2ccc(Cl)cc2)(c3ccccc3)c4ccccc4,3818,CHEMBL841,Yes,SID11112740|SID144203731|Brek|Tebloc|SID90340730|SID104171181|SID50104595|SID11113732|SID124880551|SID50104594|SID26751916|SID26751917|SID124880549|Imodium|Loperamide|SID11111380|,62,10.0,
ClC(=C(c1ccc(OCCN(CC)CC)cc1)c1ccccc1)c1ccccc1,1265967,CHEMBL954,Yes,SID50085975|Isomer B|Milophene|Enclomifene|Serophene|Cisclomiphene|Clomid|Clomiphene|Enclomiphene|Clomifene|RMI-16289|,18,-,
ClC(Cl)C(=O)NC(C(O)c1ccc([N+](=O)[O-])cc1)CO,292,CHEMBL414400,No,SID26747925|SID11532950|,0,10.0,
ClC(Cl)C(O)=O,10771217,CHEMBL13960,No,DCA|SID26753010|Dichloroethanoic acid|SID17389935|,7718,10.0,
ClC1=C[C@]2(C(=CC1=O)[C@@H](F)C[C@H]1[C@@H]3C[C@@H](C)[C@](O)(C(=O)CO)[C@]3(C[C@H](O)[C@@]12F)C)C,8022046,CHEMBL1587228,No,Halometasone|SID26719837|,0,10.0,
ClC=1CS[C@H]2N(C=1C(O)=O)C(=O)[C@H]2NC(=O)[C@H](N)c1ccccc1,46260,CHEMBL680,Yes,Raniclor|Cefaclor hydrate|Compound 99638|Ceclor|SID855765|Alfatil|Cefaclor|Panacef|SID29215008|,4,10.0,
ClCC(=O)[C@]1(OC(=O)CC)[C@@]2([C@H]([C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C2)C[C@@H]1C)C,30399,CHEMBL1159650,Yes,Cormax|Clobetasol Propionate|Olux E|Olux|SID855884|Clobex|OLUX|Temovate E|Embeline E|Temovate|Embeline|GR 2/925|Clobetasol Propionate (Emollient)|Clobetasol|CCI-4725|SID56422175|,1145,10.0,
ClCC(NCCC[C@H](NC(=O)c1ccccc1)C(=O)N)=N,28487993,CHEMBL1962361,No,,0,20.0,
ClCC(O)Cn1c(ncc1[N+](=O)[O-])C,26102,CHEMBL1449676,No,Ornidazole|Ro-70207|SID855702|,0,10.0,
ClCCN(CCCl)c1ccc(cc1)CCCC(=O)Nc1ccc(SC)cc1,245565,,,,0,10.0,
ClCCN(CCCl)c1ccc(cc1)CCCC(O)=O,2607,CHEMBL515,Yes,SID56422109|SID144203647|SID124879524|SID26747015|SID85230952|SID11110896|SID124879525|Leukeran|SID11110897|SID50104127|SID855863|SID90341264|Chlorbutin|SID104171121|SID69624|SID50126363|Chlorambucil|SID17389986|,104,10.0,
ClCCN(Cc1ccccc1)C(COc1ccccc1)C,4604,CHEMBL753,Yes,SID124879343|SID124879342|SID26752310|SID104171113|Dibenzyline|SID144203638|Phenoxybenzamine|SID90341231|SID26752309|,8,10.0,
ClCCN(N=O)C(=O)NCCCl,2480,CHEMBL513,Yes,Gliadel|SID90341293|SID11110902|SID144203648|SID26747453|SID26753530|BCNU|SID57264377|Bicnu|SID50105925|SID124879537|Carmustine|SID85230955|SID479311|,362,10.0,
